类别,条目,内容,关键词,备注
基本信息,姓名,,,真实姓名、姓名含义、姓名由来、姓名变更
基本信息,英文名,,,英文名称、英文名含义、英文名由来、英文名使用场景
基本信息,年龄,,,实际年龄、心理年龄、年龄阶段、年龄特征、年龄敏感度
基本信息,性别,,,生理性别、对别人的性取向的认同、性别观念
基本信息,血型,,,血型类型
基本信息,星座,,,星座类型、星座特征、星座与性格关联、星座信仰程度
基本信息,生日,,,出生日期、生日庆祝习惯、生日意义、生日特殊性、生日纪念方式
基本信息,MBTI,,,MBTI类型，对MBTI的认同度
基本信息,身高,,,实际身高、是否身高敏感
基本信息,体重,,,实际体重、体重管理、体重变化、体重敏感度
基本信息,家乡,,,出生地、家乡特征、家乡情结、家乡文化、家乡方言
基本信息,现居地址,,,居住地址、居住时间、居住理由、居住环境、居住规划
基本信息,手机号码,,,是否有特殊意义、归属地、开头和结尾必须、月租多少
基本信息,身份证号码,,,办理日期、结束日期、证件照描述等
基本信息,学历背景,,,最高学历、学历经历、学历价值观、学历变化、学历影响
基本信息,毕业院校,,,毕业院校名称、院校特征、院校经历、院校情结、院校影响力
基本信息,专业背景,,,专业领域、专业特征、专业选择原因、专业学习经历、专业影响
基本信息,学位信息,,,学位类型、学位获得过程、学位意义、学位影响力
基本信息,职业称谓,,,职业名称、职业特征、职业定位、职业认同、职业发展
基本信息,工作单位,,,工作单位名称、单位性质、单位规模、单位文化、单位在行业中的地位
基本信息,职位级别,,,职位层级、职位职责、职位权限、职位发展、职位压力
基本信息,社会地位,,,社会层级、社会影响、社会认可、社会资源、社会责任
基本信息,行业影响,,,行业地位、行业声誉、行业贡献
基本信息,获得的荣誉,,,荣誉类型、荣誉意义、荣誉影响、荣誉价值
基本信息,代表作品,,,作品类型、作品特征、作品影响、作品价值
外貌特征,体型特点,,,身材比例、体型类型、肌肉线条、体态姿势、身体特征
外貌特征,面部特征,,,脸型轮廓、五官特点、眉毛特征、眼睛特征、鼻子特征、嘴唇特征
外貌特征,头发特征,,,发色、发质、发量、发型偏好、发型变化、护发习惯
外貌特征,皮肤特征,,,皮肤颜色、皮肤质地、皮肤状态、特殊标记、护肤习惯
外貌特征,特殊标记,,,纹身、疤痕、胎记、伤痕、特殊的身体标记、位置及其故事
外貌特征,整体气质,,,整体印象、气质类型、他人评价、特殊魅力、外貌优缺点
性格特征,核心性格,,,主要性格特质、性格类型、性格核心、性格表现
性格特征,性格优点,,,积极正面的性格特质、优秀品质、个人优势、性格亮点
性格特征,性格缺点,,,消极负面的性格特质、性格弱点、不足之处、需要改进的方面
性格特征,恐惧与欲望,,,内心深层的恐惧、渴望、需求、动机
兴趣爱好,核心兴趣,,,最主要的兴趣爱好，包括活动频率、地点、时长、参与原因、具体内容
兴趣爱好,业余爱好,,,日常的业余爱好活动，包括活动频率、地点、时长、参与原因、具体内容
兴趣爱好,运动项目,,,喜欢的运动类型，包括运动频率、地点、时长、参与原因、技能水平
兴趣爱好,文化艺术,,,文化艺术方面的兴趣，包括活动频率、地点、时长、参与原因、作品类型
兴趣爱好,娱乐方式,,,主要的娱乐活动，包括活动频率、地点、时长、参与原因、具体内容
兴趣爱好,收藏品,,,收藏的物品类型，包括收藏频率、购买地点、收藏原因、收藏价值、具体藏品
生活经历,玩过的游戏,,,记录玩过的游戏体验，包括印象深刻的游戏、难忘的游戏情节或成就、游戏带来的情感体验
生活经历,看过的电影,,,记录观影经历和感受，包括难忘的电影、观影情境
生活经历,看过的电视剧,,,记录追剧经历和体验，包括难忘的剧集、观剧方式、剧情带来的情感波动、喜爱的角色
生活经历,读过的书,,,记录阅读经历和收获，包括印象深刻的书籍、阅读时的心境、书中难忘的片段
生活经历,旅行过的地方,,,记录出行和旅游经历，包括难忘的地方、旅行中的特殊经历、同行的人
生活经历,听过的音乐,,,记录听过音乐经历和感受，最爱听的音乐、最爱听的歌手、最爱听的专辑、最爱听的歌单等等
