模型名称,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,错误信息
豆包Vision Pro,开飞机的猫.png,workspace/input/对话日常图片/通用\开飞机的猫.png,猫咪飞行员驾机,画面中一只猫咪身着棕色飞行员皮夹克，头戴复古护目镜，坐在带有军风标识的棕色小型飞机上。背景是错落的城市建筑与道路，整体场景奇幻有趣，仿佛猫咪正驾驶飞机翱翔于城市上空。,12.167,475,507,982,
豆包Vision Pro,裸露上身的男人.png,workspace/input/对话日常图片/通用\裸露上身的男人.png,裸身男性敬礼姿态,画面中一位赤裸上身的男性，肌肉线条清晰、皮肤泛有光泽。他右手抬至额头前呈敬礼状，手指戴戒指；左手背于身后。背景为深灰色，右下角有“爆汗”标识，整体呈现时尚写真风格，展现力量与造型感。,8.219,811,298,1109,
豆包Vision Pro,凤凰大图.png,workspace/input/对话日常图片/通用\凤凰大图.png,秋林彩羽飞鸟,画面呈现秋日森林场景，一只色彩绚烂的飞鸟居于中心，头部至背部红橙渐变，颈腹蓝黑交织，翅膀羽毛蓝灰分层且完全展开。背景树木枝叶繁茂，树叶有红、橙、金黄等秋色，地面铺满落叶，暖光营造梦幻氛围，尽显秋林生机与飞鸟灵动。,8.585,1579,310,1889,
豆包Vision Pro,凤凰小图.png,workspace/input/对话日常图片/通用\凤凰小图.png,秋林彩羽飞鸟,画面呈现秋季森林场景，一只羽毛绚丽的飞鸟正展翅翱翔。其羽毛融合红、蓝、橙等色彩，翅膀宽大舒展。背景中树木交错，地上铺满金黄与橙红落叶，林间光线柔和，暖色调与冷色调交织，营造出奇幻而静谧的秋日森林氛围。,6.628,476,271,747,
豆包Vision Pro,胸毛肌肉男.png,workspace/input/对话日常图片/通用\胸毛肌肉男.png,赤膊男性手势示意,画面中是一位赤裸上身的男性，肌肉线条分明，肤色呈健康小麦色。他面向镜头，右手做出友好手势，背景为简洁深灰色调，右下角有“爆汗”文字标识，整体风格简约，突出人物健硕体态与互动感。,8.009,811,317,1128,
豆包Vision Pro,二次元露内裤.png,workspace/input/对话日常图片/通用\二次元露内裤.png,卧室蕾丝装少女,画面呈现二次元风格，一位银灰色双马尾少女身着黑色蕾丝内衣，坐在铺有浅色床单的复古软包床上，表情带些许羞赧。背景可见雕花床头、白色靠枕、暖光台灯与墙面挂画，整体氛围私密且柔和，光影凸显角色身形与服饰质感。,5.672,547,228,775,
豆包Vision Pro,黑丝对镜自拍.png,workspace/input/对话日常图片/通用\黑丝对镜自拍.png,室内自拍的女性,画面中一位女性身着白色长款针织毛衣，搭配黑色丝袜与黑色高跟鞋，坐在棕色家具边缘自拍。她手持黑色手机遮挡脸部，背景是暖光映照的室内空间，左侧可见浅色台面，整体氛围温馨且时尚，光影营造出柔和质感。,6.612,1601,219,1820,
豆包Vision Pro,生殖器.png,workspace/input/对话日常图片/通用\生殖器.png,解析失败,你的描述涉及到不符合公序良俗和道德规范的低俗、不适当内容，我不能按照你的要求提供帮助。如果你有其他合适的、积极健康的问题或需求，随时和我交流。,3.316,799,68,867,
豆包Vision Pro,建筑风景小图.png,workspace/input/对话日常图片/通用\建筑风景小图.png,金阁樱影映春水,画面中，金阁寺风格的金色多层建筑被繁茂盛开的粉色樱花树环绕，建筑与樱花的身姿清晰倒映在澄澈水面。天空湛蓝且飘着薄云，岸边岩石错落，整体色调明艳柔和，春日氛围静谧唯美，尽显自然与人文景观交融之韵。,11.636,447,472,919,
豆包Vision Pro,建筑风景大图.png,workspace/input/对话日常图片/通用\建筑风景大图.png,樱花环绕金阁寺,画面展现日本金阁寺，三层金色建筑配黑色屋顶与尖塔，被盛放的粉色樱花树环绕。建筑倒影在澄澈湖水中，湖岸有岩石分布，天空蓝白交织，春日景致静谧唯美，樱花、建筑与水景相融，满溢诗意。,6.978,1579,249,1828,
豆包Vision Pro,没穿上衣的女人.png,workspace/input/对话日常图片/通用\没穿上衣的女人.png,,,2.56,1601,51,1652,该请求涉及不符合公序良俗和内容安全规范的内容，无法提供相关服务。
豆包Vision Pro,路边小狗.png,workspace/input/对话日常图片/通用\路边小狗.png,街头立耳犬,画面中一只黑棕毛色的立耳犬站在城市人行道上，目光直视镜头，尾巴轻扬。身旁有繁茂绿植与盆栽，背景可见停放的黑色电动车、远处街道及模糊建筑，阳光洒下形成清晰影子，整体呈现日常都市街巷的鲜活氛围。,10.854,1601,418,2019,
豆包Vision Pro,赤裸性爱.png,workspace/input/对话日常图片/通用\赤裸性爱.png,解析失败,你的请求涉及到不符合公序良俗和道德规范的内容，我不能提供相关帮助。如果你有其他合适的问题或需求，随时和我交流。,2.19,611,60,671,
豆包Vision Pro,二次元妩媚.png,workspace/input/对话日常图片/通用\二次元妩媚.png,浴室紫发少女,动漫风格画面里，紫长发蓝瞳少女坐在浴室地面，身着白色透湿上衣与浅灰短裤，双手抓着头发。背景是铺有浅色瓷砖的淋浴间，金属淋浴设施和玻璃门清晰呈现，柔和光线凸显少女姿态与浴室环境细节。,7.073,547,298,845,
