"event_time",title,type,content
"Jun 22, 2025 @ 00:00:00.000","常州足球队五连败后景区推光头免票","运动","2025年6月21日，常州队在“苏超”联赛中以0:4不敌南京队，遭遇五轮全败且每场均未进球的尴尬战绩。赛后，常州天目湖景区推出“光头免票”活动，自6月22日持续至8月31日，规定所有光头游客（不限性别、年龄）在山水园和南山竹海游玩可免门票，活动宣传语“0蛋不慌头球不行但头亮行”充满幽默，旨在缓解球迷因球队失利的失落情绪。该景区此前曾结合赛事推出类似免票活动（如对南京、扬州市民免票），此次活动经工作人员确认属实，但官方渠道暂未发布正式公告。"
"Jun 22, 2025 @ 00:00:00.000","稻城亚丁景区塌方致道路阻断","旅行","受连续强降雨影响，2025年6月21日17时10分许，稻城亚丁景区内“金刚挑战线”（长线）舍身崖区域发生垮塌，存在严重安全隐患，已不具备游览条件。为保障游客安全，景区自6月22日起暂停开放金刚挑战线游览区域，恢复开放时间另行通知；亚丁景区观音慈悲线和文殊智慧线（洛绒牛场、卓玛拉措游览区域）正常开放。安全隐患整治期间，景区门票由146元/人调整为120元/人，景区工作人员表示此次塌方无人员伤亡。"
"Jun 22, 2025 @ 00:00:00.000","稻城亚丁塌方区域暂停开放","旅行","6月21日17时10分许，稻城亚丁景区“金刚挑战线”舍身崖区域因连续强降雨发生垮塌，存在严重安全隐患，已不具备游览条件，景区自6月22日起暂停开放金刚挑战线（即长线）游览区域，恢复开放时间另行通知，期间门票由146元/人调整为120元/人，其他区域正常开放。多名游客21日下午游玩时遭遇塌方，道路被山石阻断，后被救援队安全转移，无人员伤亡。此前该线路5月1日刚恢复开放，5月曾有游客因高反在该线路离世。"
"Jun 22, 2025 @ 00:00:00.000","扬州出逃卡皮巴拉'豆包'公开征婚","宠物","扬州茱萸湾动物园近日为网红卡皮巴拉“豆包”公开征婚。“豆包”于4月3日与家族成员集体出逃，其他同伴陆续被抓回，它在外逗留两个月后于6月3日回归。归家后，“豆包”与原同伴“霸总”“躲躲”关系紧张，经饲养员调解无效，且正值发情期，园方遂发布征婚启事，面向全国动物园寻找优质公水豚。征婚条件提及无需彩礼、有正式编制，嫁妆含“豪华别墅+专属泳池”等。此前因悬赏仅一张门票被笑称“小气巴拉”的动物园，此次以幽默方式为“豆包”寻缘，既关注动物福利，也借“网红”热度提升公众对动物保护的关注。"
"Jun 22, 2025 @ 00:00:00.000","游乐场小火车碾轧女童致死","日常琐事","2025年6月20日晚9时50分左右，河南荥阳市贾峪镇群众广场发生悲剧，一名两岁多女童在观看地摊游乐小火车时，因小火车未关门被卷入碾压，送医后抢救无效身亡。涉事游乐项目由外地老板经营约一个月，事故后已停止运营，负责人被警方控制，市场监管部门跟进处理，属地政府正安抚家属并调查原因。此次事件暴露出地摊游乐设施安全隐患，如设备防护缺失、管理松散等，引发公众对儿童游乐场所安全监管的关注与反思。"
"Jun 22, 2025 @ 00:00:00.000","鄱阳中考接送车超速致2死","日常琐事","2025年6月19日13时32分，江西鄱阳县谢家滩福山路段发生一起交通事故，一辆接送中考学生的客车与半挂牵引车侧面刮碰，造成2人死亡、4人受伤（伤者生命体征平稳无生命危险）。经调查，客车驾驶员金某某因超速行驶且遇雨天路滑导致车辆甩尾引发事故，两名驾驶员均排除酒驾、毒驾嫌疑。6月22日，鄱阳县公安局通报，金某某已被依法刑事拘留，事故处理及相关善后工作正进一步开展。"
"Jun 22, 2025 @ 00:00:00.000","常州天目湖推光头免票活动","线下活动","2025年6月21日，常州队在“苏超”联赛中0:4不敌南京队，遭遇五连败且五轮全未进球的尴尬战绩。为缓解球迷失落情绪，常州天目湖景区推出“光头免票”活动，从6月22日至8月31日，所有光头游客（无性别、年龄限制）在山水园和南山竹海游玩可免门票，宣传语“0蛋不慌头球不行但头亮行”颇具幽默感。需注意的是，景区内交通仍需自费，如山水园游船、南山竹海小交通及熊猫馆缆车票等。此前景区也曾结合赛事推出过对南京、扬州市民免票等活动，此次“光头免票”因创意独特引发广泛关注，既为球迷提供轻松去处，也为景区吸引了热度。"
"Jun 22, 2025 @ 00:00:00.000","深圳副总送货被压身亡调查结果","职场","2025年6月17日，深圳市光明区政府公布2024年4月14日公交站台安装项目“4·14”事故调查报告：广东艾卓精密制造有限公司副总经理刘勇军带队卸载150公斤玻璃时，因车辆停在中间高两侧低的倾斜路面，解除固定绑带后3片玻璃失稳倾倒，形成1.8米×3.8米重压面，刘勇军站在倾倒扇形区圆心位置躲避不及被压，硬质沥青路面加剧伤害，送医两小时后抢救无效身亡。事故直接经济损失260万元，暴露出企业玻璃未固定、车辆停放违规、安全培训缺失、作业流程监管缺位等重大管理漏洞，系因供货单位未履行安全生产职责、工人违章作业导致的一般生产安全责任事故。"
"Jun 22, 2025 @ 00:00:00.000","中央明确公职人员违规吃喝标准","家庭","中央纪委近期明确公职人员违规吃喝认定标准，以“零容忍”态度整治作风顽疾。认定聚焦“人员关系、场所性质、资金来源”三大核心要素：人员关系上，接受管理服务对象、下属单位或私企主宴请（无论是否自费）均违规；场所性质上，私人会所、“一桌餐”等隐蔽封闭场所聚餐即构成违规；资金来源上，公款私用、虚列开支支付费用属“假公务真吃喝”。具体类型包括可能影响公正执行公务的宴请、超标准公务接待、违规组织或参与公款宴请、隐蔽场所吃喝等，触碰红线者将面临党纪政务处分，近期多起典型案例（如医院院长、中学校长因违规接受宴请被“双开”等）已敲响警钟。"
"Jun 21, 2025 @ 00:00:00.000","凤凰传奇天津演唱会因成员身体原因取消，主办方公布退票方案","音乐","2025年6月20日，凤凰传奇工作室宣布，因成员曾毅身体原因需遵医嘱暂停工作，原定于6月27日至29日在天津举办的「吉祥如意」2025巡回演唱会取消，原筹备中的洛阳站也暂时终止。6月21日，主办方罗盘文化公布退票方案：天津站已购票观众票款将通过官方售票渠道自动全额退款，7个工作日内返还原支付账户，此前退票产生的手续费同步返还；因演出取消产生的交通、住宿退订手续费由主办方承担，需购票人于7月11日前提交相关凭证至指定邮箱，审核通过后30个工作日内支付。曾毅近期因佩戴争议手表及过往不当言论引发舆论关注，其身体问题或与长期高强度演出及舆论压力有关。"
"Jun 21, 2025 @ 00:00:00.000","央视暂停易建联专访引发热议，相关代言品牌进入防护模式","运动","2025年6月20日，央视体育频道《篮球公园》原计划播出的易建联专访被临时取消，引发热议。易建联自2024年10月陷入“嫖娼”传闻后，长期保持沉默未回应争议，导致近20家品牌下架其代言并淡出公众视野。此次专访原被视为其复出的“官方安全认证”，却在播出时被替换为女篮、三人篮球等内容，央视未作说明。网友猜测或因传闻再度发酵引发舆论压力，或内容未通过审核；球迷态度分化，有认为其成就不应被丑闻掩盖，也有质疑沉默等同于默认。部分代言品牌如徐福记、德邦快递等已悄然删除相关代言内容进入防护模式，易建联未来能否重回主流平台仍存疑。"
"Jun 21, 2025 @ 00:00:00.000","杨梅季健康提示：糖尿病患者需控制摄入量，五类人群慎食","美食","杨梅季来临，糖尿病患者可适量食用杨梅。杨梅升糖指数较低，富含钙、磷、铁等矿物质，但需严格控制摄入量，一般建议每次不超过100克，每日总量不超过300克，同时减少主食量以避免血糖波动。食用时间应选择两餐之间（如上午10点、下午3点），避免饭后立即食用导致血糖骤升。需注意，患者需在血糖控制稳定（空腹约7mmol/L，餐后2小时约10mmol/L）时食用，并监测血糖变化；若并发溃疡等消化道疾病则应慎食，且避免选择加糖或蜜饯的加工杨梅。"
"Jun 21, 2025 @ 00:00:00.000","重庆遭遇强降雨致地下车库被淹，四人失联后成功获救","大自然","2025年6月20日傍晚，重庆遭遇强降雨，某小区地下车库因排水不畅瞬间被淹，4位业主失联。现场水流浑浊上涨，有人弃车逃生、有人被困电梯，黑暗中求救声与水流声交织，消防员蹚齐腰深水打手电搜寻，至深夜1人获救，其余3人仍在紧张救援中。此次事件暴露地下空间安全隐患，暴雨前是否预警、排水系统设计维护是否到位等问题引发关注，极端天气频发下，地下车库""重建设轻管理""的漏洞亟待补上，避免生命安全再成""赌局""。"
"Jun 21, 2025 @ 00:00:00.000","扬州8岁女童持续呕吐活虫，病因竟是卫生间常见飞蛾","家居","扬州一名8岁女童近一个月反复呕吐活虫（约1厘米长），家长辗转多家医院治疗无果，常规驱虫药无效。近日至扬州市妇女儿童医院就诊，经多学科专家联合诊断并与疾控部门协作，最终确诊为毛蠓幼虫感染，元凶是家中卫生间常见的黑色小飞蛾（俗称蛾蚋）。专家提醒，梅雨季节湿热环境易滋生此类飞蛾，需注意家庭卫生，特别是下水道清洁维护，避免幼虫污染水源导致误食。"
"Jun 21, 2025 @ 00:00:00.000","重庆出租车司机因口角驾车顶撞他人被刑事拘留","日常琐事","2025年6月21日凌晨3时许，重庆江北区北城天街单行道上，35岁出租车司机杨某与34岁小货车司机陈某因停车卸货问题发生矛盾，双方激烈争吵。过程中，陈某在杨某车前拍打引擎盖，杨某驾车顶撞致其左脚轻微擦伤。目前，杨某已被公安机关依法采取刑事强制措施，案件正进一步侦办中。"
"Jun 21, 2025 @ 00:00:00.000","中国留英博士生涉嫌迷奸多人被判无期徒刑，受害或达60人","两性情感","28岁中国留英博士邹某豪因长期实施性侵被判终身监禁，最低刑期24年。邹某豪2017年赴英留学，2019年入读伦敦大学学院机械工程博士，期间通过社交平台诱骗女性，以喝酒、学习为由邀请至其公寓，灌酒下药后实施强奸，并拍摄性侵视频、留存受害者物品作为“纪念品”。案件涉及中英两国，法院已认定其至少强奸10人，警方查获微型摄像头、毒品及58段性侵视频，推测受害者可能达50至60人，目前已有24名新受害者报案将追加起诉。邹某豪曾请求以化学阉割减刑被拒，法官称其利用“高知面具”掩盖罪行，将受害者视为“性玩具”，判决系英国对性犯罪最严惩罚，部分受害者发声呼吁更多人报案，检察官感谢勇敢作证的女性。"
