date,name,type,lunar,description
2025-01-01,元旦,national,False,中国法定节假日：元旦
2025-01-28,农历除夕,national,False,中国法定节假日：农历除夕
2025-01-29,春节,national,False,中国法定节假日：春节
2025-01-30,春节,national,False,中国法定节假日：春节
2025-01-31,春节,national,False,中国法定节假日：春节
2025-02-03,休息日（2025-01-26日起取代）,national,False,中国法定节假日：休息日（2025-01-26日起取代）
2025-02-03,立春,traditional,True,二十四节气：立春
2025-02-04,休息日（2025-02-08日起取代）,national,False,中国法定节假日：休息日（2025-02-08日起取代）
2025-02-12,元宵节,traditional,True,传统农历节日：元宵节
2025-02-14,情人节,modern,False,现代节日：情人节
2025-02-18,雨水,traditional,True,二十四节气：雨水
2025-03-01,龙抬头,traditional,True,传统农历节日：龙抬头
2025-03-05,惊蛰,traditional,True,二十四节气：惊蛰
2025-03-08,妇女节,modern,False,现代节日：妇女节
2025-03-12,植树节,modern,False,现代节日：植树节
2025-03-20,春分,traditional,True,二十四节气：春分
2025-04-01,愚人节,modern,False,现代节日：愚人节
2025-04-04,清明节,national,False,中国法定节假日：清明节
2025-04-04,清明,traditional,True,二十四节气：清明
2025-04-20,谷雨,traditional,True,二十四节气：谷雨
2025-05-01,劳动节,national,False,中国法定节假日：劳动节
2025-05-02,劳动节,national,False,中国法定节假日：劳动节
2025-05-04,青年节,modern,False,现代节日：青年节
2025-05-05,休息日（2025-04-27日起取代）,national,False,中国法定节假日：休息日（2025-04-27日起取代）
2025-05-05,立夏,traditional,True,二十四节气：立夏
2025-05-21,小满,traditional,True,二十四节气：小满
2025-05-31,端午节,national,False,中国法定节假日：端午节
2025-06-01,儿童节,modern,False,现代节日：儿童节
2025-06-02,端午节（观察日）,national,False,中国法定节假日：端午节（观察日）
2025-06-05,芒种,traditional,True,二十四节气：芒种
2025-06-21,夏至,traditional,True,二十四节气：夏至
2025-07-07,小暑,traditional,True,二十四节气：小暑
2025-07-22,大暑,traditional,True,二十四节气：大暑
2025-08-01,建军节,modern,False,现代节日：建军节
2025-08-07,立秋,traditional,True,二十四节气：立秋
2025-08-23,处暑,traditional,True,二十四节气：处暑
2025-08-29,七夕节,traditional,True,传统农历节日：七夕节
2025-09-06,中元节,traditional,True,传统农历节日：中元节
2025-09-07,白露,traditional,True,二十四节气：白露
2025-09-10,教师节,modern,False,现代节日：教师节
2025-09-23,秋分,traditional,True,二十四节气：秋分
2025-10-01,国庆节,national,False,中国法定节假日：国庆节
2025-10-02,国庆节,national,False,中国法定节假日：国庆节
2025-10-03,国庆节,national,False,中国法定节假日：国庆节
2025-10-06,中秋节,national,False,中国法定节假日：中秋节
2025-10-07,休息日（2025-09-28日起取代）,national,False,中国法定节假日：休息日（2025-09-28日起取代）
2025-10-08,休息日（2025-10-11日起取代）,national,False,中国法定节假日：休息日（2025-10-11日起取代）
2025-10-08,寒露,traditional,True,二十四节气：寒露
2025-10-23,霜降,traditional,True,二十四节气：霜降
2025-10-29,重阳节,traditional,True,传统农历节日：重阳节
2025-10-31,万圣节,modern,False,现代节日：万圣节
2025-11-07,立冬,traditional,True,二十四节气：立冬
2025-11-11,双十一,modern,False,现代节日：双十一
2025-11-22,小雪,traditional,True,二十四节气：小雪
2025-12-04,下元节,traditional,True,传统农历节日：下元节
2025-12-07,大雪,traditional,True,二十四节气：大雪
2025-12-21,冬至,traditional,True,二十四节气：冬至
2025-12-24,平安夜,modern,False,现代节日：平安夜
2025-12-25,圣诞节,modern,False,现代节日：圣诞节
2025-12-31,跨年夜,modern,False,现代节日：跨年夜
2026-01-01,元旦,national,False,中国法定节假日：元旦
2026-01-05,小寒,traditional,True,二十四节气：小寒
2026-01-20,大寒,traditional,True,二十四节气：大寒
2026-01-26,腊八节,traditional,True,传统农历节日：腊八节
2026-02-04,立春,traditional,True,二十四节气：立春
2026-02-10,小年,traditional,True,传统农历节日：小年
2026-02-14,情人节,modern,False,现代节日：情人节
2026-02-16,农历除夕,national,False,中国法定节假日：农历除夕
2026-02-17,春节,national,False,中国法定节假日：春节
2026-02-18,春节,national,False,中国法定节假日：春节
2026-02-18,雨水,traditional,True,二十四节气：雨水
2026-02-19,春节,national,False,中国法定节假日：春节
2026-03-03,元宵节,traditional,True,传统农历节日：元宵节
2026-03-05,惊蛰,traditional,True,二十四节气：惊蛰
2026-03-08,妇女节,modern,False,现代节日：妇女节
2026-03-12,植树节,modern,False,现代节日：植树节
2026-03-20,龙抬头,traditional,True,传统农历节日：龙抬头
2026-03-20,春分,traditional,True,二十四节气：春分
2026-04-01,愚人节,modern,False,现代节日：愚人节
2026-04-05,清明节,national,False,中国法定节假日：清明节
2026-04-05,清明,traditional,True,二十四节气：清明
2026-04-06,清明节（观察日）,national,False,中国法定节假日：清明节（观察日）
2026-04-20,谷雨,traditional,True,二十四节气：谷雨
2026-05-01,劳动节,national,False,中国法定节假日：劳动节
2026-05-02,劳动节,national,False,中国法定节假日：劳动节
2026-05-04,劳动节（观察日）,national,False,中国法定节假日：劳动节（观察日）
2026-05-04,青年节,modern,False,现代节日：青年节
2026-05-05,立夏,traditional,True,二十四节气：立夏
2026-05-21,小满,traditional,True,二十四节气：小满
2026-06-01,儿童节,modern,False,现代节日：儿童节
2026-06-05,芒种,traditional,True,二十四节气：芒种
2026-06-19,端午节,national,False,中国法定节假日：端午节
2026-06-21,夏至,traditional,True,二十四节气：夏至
2026-07-07,小暑,traditional,True,二十四节气：小暑
2026-07-23,大暑,traditional,True,二十四节气：大暑
2026-08-01,建军节,modern,False,现代节日：建军节
2026-08-07,立秋,traditional,True,二十四节气：立秋
2026-08-19,七夕节,traditional,True,传统农历节日：七夕节
2026-08-23,处暑,traditional,True,二十四节气：处暑
2026-08-27,中元节,traditional,True,传统农历节日：中元节
2026-09-07,白露,traditional,True,二十四节气：白露
2026-09-10,教师节,modern,False,现代节日：教师节
2026-09-23,秋分,traditional,True,二十四节气：秋分
2026-09-25,中秋节,national,False,中国法定节假日：中秋节
2026-10-01,国庆节,national,False,中国法定节假日：国庆节
2026-10-02,国庆节,national,False,中国法定节假日：国庆节
2026-10-03,国庆节,national,False,中国法定节假日：国庆节
2026-10-05,国庆节（观察日）,national,False,中国法定节假日：国庆节（观察日）
2026-10-08,寒露,traditional,True,二十四节气：寒露
2026-10-18,重阳节,traditional,True,传统农历节日：重阳节
2026-10-23,霜降,traditional,True,二十四节气：霜降
2026-10-31,万圣节,modern,False,现代节日：万圣节
2026-11-07,立冬,traditional,True,二十四节气：立冬
2026-11-11,双十一,modern,False,现代节日：双十一
2026-11-22,小雪,traditional,True,二十四节气：小雪
2026-11-23,下元节,traditional,True,传统农历节日：下元节
2026-12-07,大雪,traditional,True,二十四节气：大雪
2026-12-22,冬至,traditional,True,二十四节气：冬至
2026-12-24,平安夜,modern,False,现代节日：平安夜
2026-12-25,圣诞节,modern,False,现代节日：圣诞节
2026-12-31,跨年夜,modern,False,现代节日：跨年夜
2027-01-01,元旦,national,False,中国法定节假日：元旦
2027-01-05,小寒,traditional,True,二十四节气：小寒
2027-01-15,腊八节,traditional,True,传统农历节日：腊八节
2027-01-20,大寒,traditional,True,二十四节气：大寒
2027-01-30,小年,traditional,True,传统农历节日：小年
2027-02-04,立春,traditional,True,二十四节气：立春
2027-02-05,农历除夕,national,False,中国法定节假日：农历除夕
2027-02-06,春节,national,False,中国法定节假日：春节
2027-02-07,春节,national,False,中国法定节假日：春节
2027-02-08,春节,national,False,中国法定节假日：春节
2027-02-09,春节（观察日）,national,False,中国法定节假日：春节（观察日）
2027-02-10,春节（观察日）,national,False,中国法定节假日：春节（观察日）
2027-02-14,情人节,modern,False,现代节日：情人节
2027-02-19,雨水,traditional,True,二十四节气：雨水
2027-02-20,元宵节,traditional,True,传统农历节日：元宵节
2027-03-06,惊蛰,traditional,True,二十四节气：惊蛰
2027-03-08,妇女节,modern,False,现代节日：妇女节
2027-03-09,龙抬头,traditional,True,传统农历节日：龙抬头
2027-03-12,植树节,modern,False,现代节日：植树节
2027-03-21,春分,traditional,True,二十四节气：春分
2027-04-01,愚人节,modern,False,现代节日：愚人节
2027-04-05,清明节,national,False,中国法定节假日：清明节
2027-04-05,清明,traditional,True,二十四节气：清明
2027-04-20,谷雨,traditional,True,二十四节气：谷雨
2027-05-01,劳动节,national,False,中国法定节假日：劳动节
2027-05-02,劳动节,national,False,中国法定节假日：劳动节
2027-05-03,劳动节（观察日）,national,False,中国法定节假日：劳动节（观察日）
2027-05-04,劳动节（观察日）,national,False,中国法定节假日：劳动节（观察日）
2027-05-04,青年节,modern,False,现代节日：青年节
2027-05-06,立夏,traditional,True,二十四节气：立夏
2027-05-21,小满,traditional,True,二十四节气：小满
2027-06-01,儿童节,modern,False,现代节日：儿童节
2027-06-06,芒种,traditional,True,二十四节气：芒种
2027-06-09,端午节,national,False,中国法定节假日：端午节
2027-06-21,夏至,traditional,True,二十四节气：夏至
2027-07-07,小暑,traditional,True,二十四节气：小暑
2027-07-23,大暑,traditional,True,二十四节气：大暑
2027-08-01,建军节,modern,False,现代节日：建军节
2027-08-08,七夕节,traditional,True,传统农历节日：七夕节
2027-08-08,立秋,traditional,True,二十四节气：立秋
2027-08-16,中元节,traditional,True,传统农历节日：中元节
2027-08-23,处暑,traditional,True,二十四节气：处暑
2027-09-08,白露,traditional,True,二十四节气：白露
2027-09-10,教师节,modern,False,现代节日：教师节
2027-09-15,中秋节,national,False,中国法定节假日：中秋节
2027-09-23,秋分,traditional,True,二十四节气：秋分
2027-10-01,国庆节,national,False,中国法定节假日：国庆节
2027-10-02,国庆节,national,False,中国法定节假日：国庆节
2027-10-03,国庆节,national,False,中国法定节假日：国庆节
2027-10-04,国庆节（观察日）,national,False,中国法定节假日：国庆节（观察日）
2027-10-05,国庆节（观察日）,national,False,中国法定节假日：国庆节（观察日）
2027-10-08,重阳节,traditional,True,传统农历节日：重阳节
2027-10-08,寒露,traditional,True,二十四节气：寒露
2027-10-23,霜降,traditional,True,二十四节气：霜降
2027-10-31,万圣节,modern,False,现代节日：万圣节
2027-11-07,立冬,traditional,True,二十四节气：立冬
2027-11-11,双十一,modern,False,现代节日：双十一
2027-11-12,下元节,traditional,True,传统农历节日：下元节
2027-11-22,小雪,traditional,True,二十四节气：小雪
2027-12-07,大雪,traditional,True,二十四节气：大雪
2027-12-22,冬至,traditional,True,二十四节气：冬至
2027-12-24,平安夜,modern,False,现代节日：平安夜
2027-12-25,圣诞节,modern,False,现代节日：圣诞节
2027-12-31,跨年夜,modern,False,现代节日：跨年夜
2028-01-04,腊八节,traditional,True,传统农历节日：腊八节
2028-01-06,小寒,traditional,True,二十四节气：小寒
2028-01-19,小年,traditional,True,传统农历节日：小年
2028-01-20,大寒,traditional,True,二十四节气：大寒
