天数,日期,星期,时间段,活动安排,当日概要
1,2025-06-24,星期二,上午,6:30-7:00 晨跑（校园环道）; 7:30-8:30 阅读《天体物理学杂志》最新刊; 8:45-10:00 在办公室搭建论文框架（星系演化理论部分）,完成星系演化论文框架搭建，指导2名研究生课题，处理M31星系观测数据。咖啡店工作效率良好。
1,2025-06-24,星期二,中午,12:00-12:30 简餐（常去的校园咖啡厅）; 12:45-13:30 研究生课题指导（张明-恒星形成速率测算问题）,
1,2025-06-24,星期二,下午,14:00-16:00 咖啡店专注写作（完成论文第2章节初稿）; 16:30-17:30 研究生课题指导（李雯-星系红移数据分析）,
1,2025-06-24,星期二,晚上,19:00-20:30 天文台数据处理（M31星系观测资料校准）; 20:45-21:30 整理明日研究重点笔记,
1,2025-06-24,星期二,夜间,22:30 睡前阅读（《宇宙结构形成理论》章节复习）,
2,2025-06-25,星期三,上午,6:30-7:00 晨跑（校园环道）; 7:30-8:30 在常去的星云咖啡馆审阅论文数据; 9:00-10:30 天文系办公室批改研究生作业,完成星系演化论文初稿，指导3名研究生，分析M31星系新数据。咖啡店写作效率良好。
2,2025-06-25,星期三,中午,11:30-12:30 与研究生讨论M31星系观测异常数据; 13:00-13:30 在咖啡馆午餐并阅读《天体物理学杂志》最新论文,
2,2025-06-25,星期三,下午,14:00-16:00 在咖啡馆专注撰写星系演化论文第三章; 16:30-17:30 指导博士生修改开题报告,
2,2025-06-25,星期三,晚上,18:30-19:30 整理今日观测数据并做初步分析; 20:00-21:00 回复国际同行关于合作观测计划的邮件,
2,2025-06-25,星期三,夜间,21:30-22:30 睡前阅读《星系动力学》专著并做笔记,
3,2025-06-26,星期四,上午,6:30-7:00 晨跑（校园环道）; 7:30-8:30 阅读《天体物理学杂志》最新论文; 9:00-10:30 在办公室修改星系演化论文第二章,完成论文修改稿，指导2名研究生课题，分析M87星系数据，咖啡店写作效率保持稳定
3,2025-06-26,星期四,中午,11:00-12:30 在常去的星空咖啡店审阅研究生提交的数据报告; 12:30-13:30 简餐并整理下午指导要点,
3,2025-06-26,星期四,下午,14:00-15:30 研究生课题指导（1对1，两位学生）; 16:00-17:30 处理天文台传来的M87星系观测数据,
3,2025-06-26,星期四,晚上,18:30-20:00 在咖啡店完成论文第三章框架搭建; 20:30-21:30 核对明日授课课件,
3,2025-06-26,星期四,夜间,22:00-23:00 睡前阅读《星系动力学》并做批注,
