模型名称,模型ID,图片名称,图片路径,图片标题,图片描述,耗时(秒),输入Token,输出Token,总Token,时间戳,错误信息
豆包1.6 Flash,ep-20250612122042-t6g56,猫3.png,workspace/input/穆昭/宠物\猫3.png,被窝里的猫咪,一只灰白条纹的猫咪被浅蓝色的被子包裹着，露出头部和部分身体，正安静地趴在床上。背景是带有条纹图案的枕头和浅色床品，阳光透过窗户洒在被子上，形成柔和的光影，整个场景温馨舒适，充满居家的温暖感。,4.017,1635,397,2032,2025-08-15T10:34:54.131706,
豆包1.6 Flash,ep-20250612122042-t6g56,小狗.png,workspace/input/穆昭/宠物\小狗.png,花中小狗,一只白色卷毛小狗闭着眼睛，安静地坐在绿色草地上，脖子上戴着系有粉色小花的绿色项圈。周围环绕着粉色花朵，阳光透过枝叶洒下柔和光束，整体画面温馨可爱，充满春日气息。,3.852,1635,366,2001,2025-08-15T10:34:57.983262,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫2.png,workspace/input/穆昭/宠物\流浪猫2.png,蓝箱双猫,户外水泥地旁，一个蓝色塑料箱内有两只猫咪。左侧是橘色猫咪，右侧是黑白相间猫咪，它们均抬头望向镜头方向，表情平和。阳光洒在箱子上，形成明暗光影，背景为灰色墙壁，整体场景宁静自然。,4.366,1635,466,2101,2025-08-15T10:35:02.349330,
豆包1.6 Flash,ep-20250612122042-t6g56,鸭子.png,workspace/input/穆昭/宠物\鸭子.png,水边小白鸭,一只白色绒毛的小鸭子站在水边泥地上，橙黄色喙和脚清晰可见，嘴巴张开似在鸣叫。背景是平静的水面，几只浅褐色鸭子在水中游动，远处有绿树和蓝天白云，阳光洒下柔和光影，整体画面清新自然，充满生机。,3.965,1635,409,2044,2025-08-15T10:35:06.313900,
豆包1.6 Flash,ep-20250612122042-t6g56,流浪猫.png,workspace/input/穆昭/宠物\流浪猫.png,纸箱里的猫咪,一只虎斑猫从打开的纸箱中探出头，绿眼睛明亮。纸箱旁地面散落着猫粮，旁边有装猫粮的盘子。背景是居民楼，有树木绿植，阳光洒下，营造温馨街头场景。,4.686,1635,496,2131,2025-08-15T10:35:10.999654,
豆包1.6 Flash,ep-20250612122042-t6g56,浣熊.png,workspace/input/穆昭/宠物\浣熊.png,小熊猫趴木桌,画面中一只小熊猫趴在圆形木桌上，红棕色毛发搭配白色脸颊与黑色四肢，眼神温和。背景是玻璃与木质结构构成的建筑，有游客在楼梯上活动，周围绿植环绕，阳光透过树叶洒下，场景自然和谐。,4.325,1635,390,2025,2025-08-15T10:35:15.324409,
豆包1.6 Flash,ep-20250612122042-t6g56,猫5.png,workspace/input/穆昭/宠物\猫5.png,戴围巾猫咪伸爪,一只浅棕色猫咪戴着蓝白条纹围巾，慵懒地躺在蓝白格子和黄色枕头上，一只爪子抬起，眼睛明亮，神情可爱，阳光洒在毛发上，营造温馨氛围。,5.172,1635,519,2154,2025-08-15T10:35:20.496043,
豆包1.6 Flash,ep-20250612122042-t6g56,绘制精美客厅猫图.png,workspace/input/穆昭/宠物\绘制精美客厅猫图.png,橘猫沙发酣睡,室内沙发上，一只橘色猫咪闭着眼酣睡，前爪轻搭着毛线球。阳光透过窗户洒在浅棕色沙发和抱枕上，背景有台灯、相框等家居装饰，整体氛围温馨舒适。,4.118,1635,457,2092,2025-08-15T10:35:24.614508,
豆包1.6 Flash,ep-20250612122042-t6g56,金鱼.png,workspace/input/穆昭/宠物\金鱼.png,鱼缸里的金鱼,透明鱼缸内，几条橙红色金鱼正悠闲游动，鱼身鳞片在柔和光线下泛着光泽。缸底铺有浅色石子，点缀着绿色水草，水面漂浮着细密气泡。背景模糊，似室内环境，整体画面静谧，展现金鱼在水中自在游弋的场景。,3.692,1635,392,2027,2025-08-15T10:35:28.306375,
豆包1.6 Flash,ep-20250612122042-t6g56,猫4.png,workspace/input/穆昭/宠物\猫4.png,蓝眼灰白猫,一只灰白相间的长毛猫坐在铺着白色床单的床上，蓝色的眼睛明亮有神，耳朵竖起，胡须清晰。背景中可见木质床头和部分窗户，阳光透过窗户洒入，光影柔和，整体氛围温馨宁静。,3.846,1635,390,2025,2025-08-15T10:35:32.152650,
豆包1.6 Flash,ep-20250612122042-t6g56,羊驼.png,workspace/input/穆昭/宠物\羊驼.png,田园羊驼群,四只戴红色项圈的白色羊驼站在绿草地上，背景有茅草屋顶小木屋、茅草伞和野餐桌，周围树木环绕，阳光明媚，天空湛蓝，整体呈现宁静的田园氛围。,4.784,1635,436,2071,2025-08-15T10:35:36.936231,
豆包1.6 Flash,ep-20250612122042-t6g56,柯基.png,workspace/input/穆昭/宠物\柯基.png,柯基庭院萌照,棕白相间的柯基犬坐在木质庭院桌前，大耳朵竖起，黑鼻明亮，表情呆萌。背景有白色双开门、绿植和木椅，阳光透过树叶洒下柔和光影，营造温馨自然的氛围。,3.982,1635,408,2043,2025-08-15T10:35:40.918320,
豆包1.6 Flash,ep-20250612122042-t6g56,猫.png,workspace/input/穆昭/宠物\猫.png,萌猫抱蘑菇玩具,画面中一只橘白相间的小猫，有着大大的圆眼睛和粉鼻头，正用前爪抱着一个橙色带白色圆点的毛绒蘑菇玩具。背景是模糊的室内环境，有柔和的光线洒在地毯上，整体氛围温馨可爱。,4.459,1635,525,2160,2025-08-15T10:35:45.376896,
豆包1.6 Flash,ep-20250612122042-t6g56,仓鼠.png,workspace/input/穆昭/宠物\仓鼠.png,仓鼠野餐食饼干,画面中一只棕白相间的仓鼠正坐在红白格子野餐垫上，用前爪捧着一块饼干进食。它有着圆滚滚的身体、白色肚皮和黑色圆眼睛，粉色耳朵与爪子显得格外可爱。周围是绿色草地，点缀着黄色小花和红色草莓，背景阳光柔和，整体氛围温馨自然。,4.083,1635,330,1965,2025-08-15T10:35:49.460307,
豆包1.6 Flash,ep-20250612122042-t6g56,猫2.png,workspace/input/穆昭/宠物\猫2.png,睡猫抱熊,室内场景中，一只银灰色带黑色条纹的猫咪正蜷缩在米色流苏地毯上，双眼紧闭，亲昵地将头靠在棕色泰迪熊上，爪子轻轻抱着小熊，姿态放松。背景是木质地板，阳光洒下柔和光影，整体氛围温馨宁静。,4.323,1635,468,2103,2025-08-15T10:35:53.783714,
豆包1.6 Flash,ep-20250612122042-t6g56,狗.png,workspace/input/穆昭/宠物\狗.png,柴犬栅栏微笑,一只棕白相间的柴犬从金属栅栏后探出头，眼睛微闭，嘴角上扬，露出开心的表情。背景是灰色砖墙和绿色植物，阳光透过树叶洒下柔和光影，整体氛围温馨惬意。,3.779,1635,394,2029,2025-08-15T10:35:57.562445,
